"","Study_Area","Area_ha","Unique_ID","Transect_ID","Transect_Length_km","Date","Distance","Group_size","Survey_Time","Ground","Med_Veg","High_veg"
"129","La Copita Ranch",1096.698,"2.10.2024_4.5",4,4.99,"2/10/2024",0.000037872669303065,2,"Morning",0.247781475318913,0.473031059345535,0.103508042151969
"130","La Copita Ranch",1096.698,"2.10.2024_4.6",4,4.99,"2/10/2024",99.9675868099928,1,"Morning",0.313075356415479,0.36887983706721,0.0413034623217923
"131","La Copita Ranch",1096.698,"2.10.2024_4.7",4,4.99,"2/10/2024",43.2872826672783,1,"Morning",0.227363641277907,0.511054651602789,0.0664360235688416
"132","La Copita Ranch",1096.698,"2.10.2024_4.8",4,4.99,"2/10/2024",99.9675880547306,1,"Morning",0.306961532471578,0.257202927892852,0.114779629341224
"133","La Copita Ranch",1096.698,"2.10.2024_5.1",5,4.68,"2/10/2024",34.6298050427114,1,"Morning",0.388932419196866,0.224583741429971,0.00763956904995103
"134","La Copita Ranch",1096.698,"2.10.2024_5.2",5,4.68,"2/10/2024",29.9903107857415,1,"Morning",0.380316434161279,0.328768288533515,0.0365770670296019
"135","La Copita Ranch",1096.698,"2.10.2024_5.3",5,4.68,"2/10/2024",79.9740442802218,1,"Morning",0.375342231348392,0.361310746064339,0.0292607802874743
"136","La Copita Ranch",1096.698,"2.10.2024_5.4",5,4.68,"2/10/2024",29.9902761479757,1,"Morning",0.288624535315985,0.298438661710037,0.144460966542751
"137","La Copita Ranch",1096.698,"2.10.2024_5.5",5,4.68,"2/10/2024",74.9756653089844,1,"Morning",0.210562611344176,0.47640940175852,0.128268490316648
"138","La Copita Ranch",1096.698,"2.10.2024_5.6",5,4.68,"2/10/2024",14.9950280931736,3,"Morning",0.233836463037794,0.504575707154742,0.0795697646779178
"139","La Copita Ranch",1096.698,"2.10.2024_6.1",6,4.74,"2/10/2024",99.9674873440669,2,"Morning",0.580746089049338,0.192418772563177,0.00553549939831528
"140","La Copita Ranch",1096.698,"2.10.2024_6.2",6,4.74,"2/10/2024",39.9872450574682,1,"Morning",0.334897753938988,0.370516258799866,0.0535534696614147
"141","La Copita Ranch",1096.698,"2.10.2024_6.3",6,4.74,"2/10/2024",0.0000377676498974791,1,"Morning",0.299553817003851,0.209400403398325,0.376260619766518
"142","La Copita Ranch",1096.698,"2.10.2024_6.4",6,4.74,"2/10/2024",59.9804956989661,3,"Morning",0.434332074865451,0.218812756044662,0.235199614426862
"143","La Copita Ranch",1096.698,"2.10.2024_6.5",6,4.74,"2/10/2024",24.9918567096609,1,"Morning",0.421592130280235,0.260643134661486,0.138381416880218
"144","La Copita Ranch",1096.698,"2.10.2024_6.6",6,4.74,"2/10/2024",29.9902494060448,2,"Morning",0.549051315222079,0.175614489003881,0.0547649849072876
"145","La Copita Ranch",1096.698,"2.10.2024_6.7",6,4.74,"2/10/2024",43.2872448574041,3,"Morning",0.379983108108108,0.325506756756757,0.069847972972973
"146","La Copita Ranch",1096.698,"2.10.2024_7.1",7,4.79,"2/10/2024",0.00000664407396548204,1,"Morning",0.314763008552474,0.417712413076493,0.0286148189593158
"147","La Copita Ranch",1096.698,"2.10.2024_7.2",7,4.79,"2/10/2024",0.0000265719885826421,1,"Morning",0.457906295754026,0.221724011713031,0.161420204978038
"148","La Copita Ranch",1096.698,"2.10.2024_7.3",7,4.79,"2/10/2024",86.5742935914959,2,"Morning",0.515560165975104,0.152697095435685,0.135269709543568
"149","La Copita Ranch",1096.698,"2.10.2024_7.4",7,4.79,"2/10/2024",34.6297000068443,1,"Morning",0.564583582267893,0.153781813836779,0.00131437447723742
"150","La Copita Ranch",1096.698,"2.10.2024_7.5",7,4.79,"2/10/2024",86.5742401740528,2,"Morning",0.293308102528815,0.372441080337175,0.0473937725787029
"151","La Copita Ranch",1096.698,"2.10.2024_7.6",7,4.79,"2/10/2024",14.9952277013706,3,"Morning",0.306641245630759,0.42357801080394,0.0176358436606292
"152","La Copita Ranch",1096.698,"2.10.2024_8.1",8,4.84,"2/10/2024",19.9935955562402,2,"Morning",0.345669559298962,0.330015313935681,0.05700187170325
"153","La Copita Ranch",1096.698,"2.10.2024_8.2",8,4.84,"2/10/2024",99.9674110368859,1,"Morning",0.602240551520374,0.0630308999138249,0.0359473101071033
"154","La Copita Ranch",1096.698,"2.10.2024_8.3",8,4.84,"2/10/2024",34.9885163942856,4,"Morning",0.562818981431209,0.145509827342817,0.109675317624063
"155","La Copita Ranch",1096.698,"2.10.2024_8.4",8,4.84,"2/10/2024",99.9673932972776,2,"Morning",0.408463661453542,0.232060717571297,0.225850965961362
"156","La Copita Ranch",1096.698,"2.10.2024_8.5",8,4.84,"2/10/2024",29.9902437155806,4,"Morning",0.248003362757461,0.39915931063472,0.0199243379571248
"157","La Copita Ranch",1096.698,"2.10.2024_8.6",8,4.84,"2/10/2024",99.9673948098905,1,"Morning",0.371611751339068,0.378591137802305,0.0517773088784288
"158","La Copita Ranch",1096.698,"2.10.2024_8.7",8,4.84,"2/10/2024",34.6297423365286,1,"Morning",0.285257342250654,0.294950082388291,0.00804497431423863
"159","La Copita Ranch",1096.698,"2.10.2024_9.1",9,1.25,"2/10/2024",59.9804116248566,1,"Morning",0.295583734149541,0.378724467487039,0.131301143107002
